case_id,client_name,category,priority,intake_date,closure_date,triage_date,triaged,contact_count,assigned_agent,status,resolution_notes,duration_days
CS-1001,Apex Solutions,Technical Support,High,2024-01-05,2024-01-08,2024-01-05,True,3,Agent_Smith,Closed,Resolved server connectivity error.,3.0
CS-1003,BlueStar Logistics,Billing,Medium,2024-01-08,2024-01-14,2024-01-08,True,2,Agent_Johnson,Closed,Invoice reconciliation completed.,6.0
CS-1005,Cascade Media,Hardware,Low,2024-01-12,2024-01-25,,False,5,Agent_Lee,Closed,Replaced faulty display panel.,13.0
CS-1006,Delta Dynamics,Technical Support,High,2024-01-15,2024-01-18,2024-01-15,True,4,Agent_Smith,Closed,Configured VPN client credentials.,3.0
CS-1007,Epsilon Health,General Inquiry,Low,2024-01-18,2024-01-20,,False,1,Agent_Davis,Closed,Provided standard onboarding documentation.,2.0
CS-1008,Falcon FinTech,Technical Support,Critical,2024-01-22,2024-01-23,2024-01-22,True,6,Agent_Taylor,Closed,Patched database deadlock during batch run.,1.0
CS-1009,Galactic Retail,Billing,Medium,2024-01-25,2024-02-02,2024-01-26,True,4,Agent_Johnson,Closed,Refund credit applied to customer account.,8.0
CS-1010,Horizon Energy,Hardware,High,2024-01-29,2024-02-15,,False,7,Agent_Lee,Closed,Field service dispatched for sensor replacement.,17.0
CS-1011,Infinity Labs,Technical Support,Medium,2024-02-02,2024-02-07,2024-02-02,True,3,Agent_Smith,Closed,Restored user access permissions.,5.0
CS-1012,Jupiter Foods,Account Access,Low,2024-02-05,2024-02-08,2024-02-05,True,2,Agent_Davis,Closed,Password reset link re-sent.,3.0
CS-1013,Kestrel Security,Security Alert,High,2024-02-10,2024-02-12,2024-02-10,True,5,Agent_Taylor,Closed,Investigated unauthorized login attempt.,2.0
CS-1014,Lunar Systems,General Inquiry,Low,2024-02-14,2024-02-15,,False,1,Agent_Davis,Closed,Clarified API rate limits.,1.0
CS-1015,Matrix Global,Technical Support,Medium,2024-02-18,2024-02-26,2024-02-19,True,4,Agent_Smith,Closed,Rebuilt corrupt local search index.,8.0
CS-1016,Nexus Analytics,Billing,High,2024-02-22,2024-03-01,2024-02-22,True,3,Agent_Johnson,Closed,Corrected duplicate charge issue.,8.0
CS-1017,Omega Tech,Hardware,Low,2024-02-26,2024-03-12,,False,6,Agent_Lee,Closed,Delivered replacement docking station.,15.0
CS-1018,Pinnacle Corp,Technical Support,Critical,2024-03-01,2024-03-03,2024-03-01,True,8,Agent_Taylor,Closed,Mitigated DDoS traffic spike.,2.0
CS-1019,Quantum Robotics,Technical Support,High,2024-03-05,2024-03-10,2024-03-05,True,4,Agent_Smith,Closed,Calibrated optical recognition pipeline.,5.0
CS-1020,Radiant Solar,General Inquiry,Medium,2024-03-10,2024-03-15,,False,2,Agent_Davis,Closed,Updated billing contact address.,5.0
CS-1021,Summit Healthcare,Security Alert,High,2024-03-14,2024-03-17,2024-03-14,True,5,Agent_Taylor,Closed,Audited suspicious egress packet log.,3.0
CS-1022,Terra Transport,Billing,Low,2024-03-18,2024-03-28,,False,3,Agent_Johnson,Closed,Adjusted disputed mileage surcharge.,10.0
CS-1023,Ultra Marine,Hardware,Medium,2024-03-22,2024-04-05,2024-03-23,True,5,Agent_Lee,Closed,Repaired thermal fan assembly.,14.0
