case_id,client_name,category,priority,intake_date,closure_date,triage_date,triaged,contact_count,assigned_agent,status,resolution_notes
CS-1001,Apex Solutions,Technical Support,High,2024-01-05,2024-01-08,2024-01-05,Yes,3,Agent_Smith,Closed,Resolved server connectivity error.
CS-1002,Apex Solutions,Technical Support,High,2024-01-05,2024-01-08,2024-01-05,Yes,3,Agent_Smith,Closed,Resolved server connectivity error.
CS-1003,BlueStar Logistics,Billing,Medium,01/08/2024,01/14/2024,01/08/2024,Y,2,Agent_Johnson,Closed,Invoice reconciliation completed.
CS-1004,BlueStar Logistics ,Billing ,Medium,01/08/2024,01/14/2024,01/08/2024,Y,2,Agent_Johnson,Closed,Invoice reconciliation completed.
CS-1005,Cascade Media,Hardware,Low,2024-01-12,2024-01-25,,No,5,Agent_Lee,Closed,Replaced faulty display panel.
CS-1006,Delta Dynamics,TECH SUPPORT,HIGH,2024-01-15,2024-01-18,2024-01-15,1,4,Agent_Smith,Closed,Configured VPN client credentials.
CS-1007,Epsilon Health,General Inquiry,Low,2024-01-18,2024-01-20,,No,1,Agent_Davis,Closed,Provided standard onboarding documentation.
CS-1008,Falcon FinTech,Technical Support,Critical,2024-01-22,2024-01-23,2024-01-22,Yes,6,Agent_Taylor,Closed,Patched database deadlock during batch run.
CS-1009,Galactic Retail,billng,Medium,2024-01-25,2024-02-02,2024-01-26,Yes,4,Agent_Johnson,Closed,Refund credit applied to customer account.
CS-1010,Horizon Energy,Hardware,High,2024-01-29,2024-02-15,,No,7,Agent_Lee,Closed,Field service dispatched for sensor replacement.
CS-1011,Infinity Labs,tech_support,Medium,2024-02-02,2024-02-07,2024-02-02,Yes,3,Agent_Smith,Closed,Restored user access permissions.
CS-1012,Jupiter Foods,Account Access,Low,02/05/2024,02/08/2024,02/05/2024,Yes,2,Agent_Davis,Closed,Password reset link re-sent.
CS-1013,Kestrel Security,Security Alert,High,2024-02-10,2024-02-12,2024-02-10,TRUE,5,Agent_Taylor,Closed,Investigated unauthorized login attempt.
CS-1014,Lunar Systems,General Inquiry,Low,2024-02-14,2024-02-15,,No,1,Agent_Davis,Closed,Clarified API rate limits.
CS-1015,Matrix Global,Technical Support,Medium,2024-02-18,2024-02-26,2024-02-19,Yes,4,Agent_Smith,Closed,Rebuilt corrupt local search index.
